id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
186382e7-2571-44b0-8b5e-9d432d94b2b7-19,669801ca-e9d0-42c3-adae-364b7e191bf9,1364097908,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
186382e7-2571-44b0-8b5e-9d432d94b2b7-19,669801ca-e9d0-42c3-adae-364b7e191bf9,1364097908,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
186382e7-2571-44b0-8b5e-9d432d94b2b7-97,669801ca-e9d0-42c3-adae-364b7e191bf9,1364099108,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
186382e7-2571-44b0-8b5e-9d432d94b2b7-97,669801ca-e9d0-42c3-adae-364b7e191bf9,1364099108,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
4028aec4-6390-4489-8c9c-f90239ba3bee-63,669801ca-e9d0-42c3-adae-364b7e191bf9,1364100308,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
4028aec4-6390-4489-8c9c-f90239ba3bee-63,669801ca-e9d0-42c3-adae-364b7e191bf9,1364100308,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
84a8742f-8f47-4be5-b105-a31e80ac861d-41,669801ca-e9d0-42c3-adae-364b7e191bf9,1364101508,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
84a8742f-8f47-4be5-b105-a31e80ac861d-41,669801ca-e9d0-42c3-adae-364b7e191bf9,1364101508,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
5cb801c8-0cc9-4852-ab73-920872ee89b1-19,669801ca-e9d0-42c3-adae-364b7e191bf9,1364095508,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
5cb801c8-0cc9-4852-ab73-920872ee89b1-19,669801ca-e9d0-42c3-adae-364b7e191bf9,1364095508,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
5cb801c8-0cc9-4852-ab73-920872ee89b1-68,669801ca-e9d0-42c3-adae-364b7e191bf9,1364096708,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
5cb801c8-0cc9-4852-ab73-920872ee89b1-68,669801ca-e9d0-42c3-adae-364b7e191bf9,1364096708,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
6f792d20-846e-4d4b-b970-6c34dbaf797c-64,669801ca-e9d0-42c3-adae-364b7e191bf9,1364106308,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,13,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
6f792d20-846e-4d4b-b970-6c34dbaf797c-64,669801ca-e9d0-42c3-adae-364b7e191bf9,1364106308,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
6f792d20-846e-4d4b-b970-6c34dbaf797c-64,669801ca-e9d0-42c3-adae-364b7e191bf9,1364106308,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,11,1,1,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
6f792d20-846e-4d4b-b970-6c34dbaf797c-64,669801ca-e9d0-42c3-adae-364b7e191bf9,1364106308,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
7fcf6223-375f-41e8-a34e-bf6ef5d5d4d7-113,669801ca-e9d0-42c3-adae-364b7e191bf9,1364105108,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
7fcf6223-375f-41e8-a34e-bf6ef5d5d4d7-113,669801ca-e9d0-42c3-adae-364b7e191bf9,1364105108,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,11,1,1,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
7fcf6223-375f-41e8-a34e-bf6ef5d5d4d7-113,669801ca-e9d0-42c3-adae-364b7e191bf9,1364105108,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
60fb9390-19f6-46a4-9363-951cc6aeedb4-20,669801ca-e9d0-42c3-adae-364b7e191bf9,1364102708,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
60fb9390-19f6-46a4-9363-951cc6aeedb4-20,669801ca-e9d0-42c3-adae-364b7e191bf9,1364102708,org.bewellapp.dashBoardActivity,org.bewellapp,7,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
