id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
fd367b56-fbc6-42bd-80dc-7d4c5254a78b-83,91723c67-617b-454c-96b7-ccaf9516c501,1364123748,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
5ae04846-54bf-4fe7-b6cc-d1bb002d03f5-54,91723c67-617b-454c-96b7-ccaf9516c501,1364127348,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
df4d813d-119c-48b2-8f96-d07112227031-25,91723c67-617b-454c-96b7-ccaf9516c501,1364128548,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
df4d813d-119c-48b2-8f96-d07112227031-108,91723c67-617b-454c-96b7-ccaf9516c501,1364129748,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
1a15b30f-f158-4a25-8d2b-25a178b8a51a-17,91723c67-617b-454c-96b7-ccaf9516c501,1364117748,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
1a15b30f-f158-4a25-8d2b-25a178b8a51a-136,91723c67-617b-454c-96b7-ccaf9516c501,1364118948,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2d7e02d5-e749-4acf-9498-90b24d62bbbf-47,91723c67-617b-454c-96b7-ccaf9516c501,1364138148,com.google.android.apps.paco.PAM,com.google.android.apps.paco,4,1,1,com.google.android.apps.paco.PAM,com.google.android.apps.paco
2d7e02d5-e749-4acf-9498-90b24d62bbbf-47,91723c67-617b-454c-96b7-ccaf9516c501,1364138148,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2bd64eae-6e63-48cf-861e-215599c1695c-21,91723c67-617b-454c-96b7-ccaf9516c501,1364109348,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2bd64eae-6e63-48cf-861e-215599c1695c-140,91723c67-617b-454c-96b7-ccaf9516c501,1364110548,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
e4fbb22f-1687-4290-a565-c15a0832fce3-37,91723c67-617b-454c-96b7-ccaf9516c501,1364132148,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
e4fbb22f-1687-4290-a565-c15a0832fce3-90,91723c67-617b-454c-96b7-ccaf9516c501,1364133348,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
0ebadd68-1678-41c1-80d1-bcc426a06eca-599,91723c67-617b-454c-96b7-ccaf9516c501,1364108148,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
e00f9711-4cb8-4147-8bd5-d4699e3a3036-29,91723c67-617b-454c-96b7-ccaf9516c501,1364114148,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
e00f9711-4cb8-4147-8bd5-d4699e3a3036-115,91723c67-617b-454c-96b7-ccaf9516c501,1364115348,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
a7f1c223-5dea-4509-9d42-a8ac4f225810-88,91723c67-617b-454c-96b7-ccaf9516c501,1364111748,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
3d7cc337-d29c-4a14-bedf-c94881d45dd8-162,91723c67-617b-454c-96b7-ccaf9516c501,1364106778,com.android.settings.Settings$WifiSettingsActivity,com.android.settings,20,1,1,com.android.settings.Settings$WifiSettingsActivity,com.android.settings
